Line Item,1998,1999
Called Up Share Capital,101,3000101
Cash at Bank and In Hand,510227,
Creditors: Amounts Falling Due After One Year,,
Creditors: Amounts Falling Due Within One Year,-12560689,-18585488
Debtors Due After One Year,,
Debtors Due Within One Year,1338643,1691485
Fixed Asset Investments,204,204
Intangible Fixed Assets,,
Net Assets,341808,3352688
Net Current Assets,-8401731,-13629288
Other Reserves,,
Profit and Loss Account,786486,797366
Provisions for Liabilities,,
Revaluation Reserve,-444779,-444779
Share Premium Account,,
Stocks,2310088,3264715
Tangible Fixed Assets,8743335,16981772
Total Assets Less Current Liabilities,341808,3352688
Total Current Assets,4158958,4956200
Total Fixed Assets,8743539,16981976
Total Shareholders Funds,341808,3352688
