"company_name","company_number","reg_address_care_of","reg_address_po_box","reg_address_line1","reg_address_line2","reg_address_post_town","reg_address_county","reg_address_country","reg_address_post_code","company_category","company_status","country_of_origin","dissolution_date","incorporation_date","accounts_ref_day","accounts_ref_month","accounts_next_due_date","accounts_last_made_up_date","accounts_category","returns_next_due_date","returns_last_made_up_date","mortgages_num_charges","mortgages_num_outstanding","mortgages_num_part_satisfied","mortgages_num_satisfied","sic_code_text_1","sic_code_text_2","sic_code_text_3","sic_code_text_4","limited_partnerships_num_gen_partners","limited_partnerships_num_lim_partners","uri","previous_name_1_condate","previous_name_1_company_name","previous_name_2_condate","previous_name_2_company_name","previous_name_3_condate","previous_name_3_company_name","previous_name_4_condate","previous_name_4_company_name","previous_name_5_condate","previous_name_5_company_name","previous_name_6_condate","previous_name_6_company_name","previous_name_7_condate","previous_name_7_company_name","previous_name_8_condate","previous_name_8_company_name","previous_name_9_condate","previous_name_9_company_name","previous_name_10_condate","previous_name_10_company_name","conf_stmt_next_due_date","conf_stmt_last_made_up_date"
"! LTD","08209948","","","9 PRINCES SQUARE","","HARROGATE","","ENGLAND","HG1 1ND","Private Limited Company","Active","United Kingdom",NULL,"2012-09-11",30,9,"2025-06-30","2023-09-30","DORMANT","2016-10-09","2015-09-11",0,0,0,0,"99999 - Dormant Company","","","",0,0,"http://business.data.gov.uk/id/company/08209948",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-09-25","2024-09-11"
"!BIG IMPACT GRAPHICS LIMITED","11743365","","","372 OLD STREET","335 ROSDEN HOUSE","LONDON","","UNITED KINGDOM","EC1V 9LT","Private Limited Company","Active","United Kingdom",NULL,"2018-12-28",31,12,"2025-09-30","2023-12-24","DORMANT","2020-01-25",NULL,0,0,0,0,"18129 - Printing n.e.c.","59112 - Video production activities","63120 - Web portals","74201 - Portrait photographic activities",0,0,"http://business.data.gov.uk/id/company/11743365",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-12-29","2024-12-15"
"!NFLECTION ADVISORY LIMITED","15073164","","","52 MEADWAY","","BARNET","","UNITED KINGDOM","EN5 5LB","Private Limited Company","Active","United Kingdom",NULL,"2023-08-15",31,8,"2025-05-15",NULL,"NO ACCOUNTS FILED","2024-09-12",NULL,0,0,0,0,"70229 - Management consultancy activities other than financial management","","","",0,0,"http://business.data.gov.uk/id/company/15073164",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-08-28","2024-08-14"
"!NFOGENIE LTD","13522064","","","71-75 SHELTON STREET","","LONDON","GREATER LONDON","UNITED KINGDOM","WC2H 9JQ","Private Limited Company","Active","United Kingdom",NULL,"2021-07-21",31,7,"2026-04-30","2024-07-31","MICRO ENTITY","2022-08-18",NULL,0,0,0,0,"58290 - Other software publishing","","","",0,0,"http://business.data.gov.uk/id/company/13522064",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-08-03","2024-07-20"
"!NK MEDIA LIMITED","15801429","","","85 GREAT PORTLAND STREET, FIRST FLOOR, LONDON 85 GREAT PORTLAND STREET","FIRST FLOOR","LONDON","","ENGLAND","W1W 7LT","Private Limited Company","Active","United Kingdom",NULL,"2024-06-25",30,6,"2026-03-25",NULL,"NO ACCOUNTS FILED","2025-07-23",NULL,0,0,0,0,"59112 - Video production activities","59120 - Motion picture, video and television programme post-production activities","60200 - Television programming and broadcasting activities","",0,0,"http://business.data.gov.uk/id/company/15801429",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-07-08",NULL
"!NNOV8 LIMITED","11006939","","","OLD BARN FARM","HARTFIELD ROAD","EDENBRIDGE","","ENGLAND","TN8 5NF","Private Limited Company","Active","United Kingdom",NULL,"2017-10-11",30,3,"2025-12-30","2024-03-31","MICRO ENTITY","2018-11-08",NULL,0,0,0,0,"62090 - Other information technology service activities","70229 - Management consultancy activities other than financial management","","",0,0,"http://business.data.gov.uk/id/company/11006939",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-10-24","2024-10-10"
"!NNOVATION LAB LTD","15431491","","","6 THORNEYHOLME CLOSE","LOSTOCK","BOLTON","","ENGLAND","BL6 4BZ","Private Limited Company","Active","United Kingdom",NULL,"2024-01-22",31,1,"2025-10-22",NULL,"NO ACCOUNTS FILED","2025-02-19",NULL,0,0,0,0,"70229 - Management consultancy activities other than financial management","78300 - Human resources provision and management of human resources functions","85520 - Cultural education","",0,0,"http://business.data.gov.uk/id/company/15431491",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-02-04",NULL
"!NSPIRED INVESTMENTS LTD","SC606050","","","26 POLMUIR ROAD","","ABERDEEN","","SCOTLAND","AB11 7SY","Private Limited Company","Active","United Kingdom",NULL,"2018-08-22",31,8,"2025-05-31","2023-08-31","TOTAL EXEMPTION FULL","2019-09-19",NULL,5,5,0,0,"68209 - Other letting and operating of own or leased real estate","","","",0,0,"http://business.data.gov.uk/id/company/SC606050",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-02-12","2024-01-29"
"!NSPIRED LTD","SC421617","","","26 POLMUIR ROAD","","ABERDEEN","","UNITED KINGDOM","AB11 7SY","Private Limited Company","Liquidation","United Kingdom",NULL,"2012-04-11",10,1,"2023-10-10","2022-01-10","TOTAL EXEMPTION FULL","2017-05-09","2016-04-11",0,0,0,0,"70229 - Management consultancy activities other than financial management","","","",0,0,"http://business.data.gov.uk/id/company/SC421617",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2022-04-25","2021-04-11"
"!NVERTD DESIGNS LIMITED","09152972","","","2 SANDROCKS LODGE","ROCKY LANE","HAYWARDS HEATH","","ENGLAND","RH16 4RW","Private Limited Company","Active","United Kingdom",NULL,"2014-07-30",31,7,"2026-04-30","2024-07-31","TOTAL EXEMPTION FULL","2016-08-27","2015-07-30",0,0,0,0,"58190 - Other publishing activities","","","",0,0,"http://business.data.gov.uk/id/company/09152972",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"","2025-08-13","2024-07-30"
